dataset,a,b,vocab_size,delta,abs_delta,arr_dist,gc_dist,kmer_dist
jores,jores_21025,jores_45431,2,2.309514992150615,2.309514992150615,0.61,0.011764705882352955,1.0179640718562875
jores,jores_21303,jores_46592,3,1.71462637235207,1.71462637235207,0.3111111111111111,0.0117647058823529,1.0778443113772456
jores,jores_21733,jores_25606,3,-0.08056536541456039,0.08056536541456039,0.10666666666666667,0.047058823529411764,1.1736526946107784
jores,jores_22484,jores_58388,3,-1.47272641897146,1.47272641897146,0.7133333333333333,0.12352941176470583,1.25748502994012
jores,jores_22777,jores_8138,3,1.558751289541098,1.558751289541098,0.7133333333333333,0.05882352941176472,1.1736526946107786
jores,jores_23676,jores_24492,2,0.13365847973536016,0.13365847973536016,0.24,0.0117647058823529,1.18562874251497
jores,jores_23676,jores_45932,2,0.6769463423790698,0.6769463423790698,0.4266666666666667,0.02941176470588236,1.2215568862275452
jores,jores_23676,jores_60331,2,-0.63717885352585,0.63717885352585,0.16,0.12941176470588234,1.25748502994012
jores,jores_23676,jores_61181,2,0.6141755520388898,0.6141755520388898,0.13333333333333333,0.1352941176470588,1.2095808383233533
jores,jores_23676,jores_61545,2,-1.850495190281518,1.850495190281518,0.3333333333333333,0.14117647058823524,1.2934131736526946
jores,jores_24492,jores_45932,2,0.5432878626437097,0.5432878626437097,0.6666666666666666,0.04117647058823526,1.1736526946107784
jores,jores_24492,jores_60331,2,-0.7708373332612102,0.7708373332612102,0.08,0.11764705882352944,1.2335329341317367
jores,jores_24492,jores_61181,2,0.4805170723035297,0.4805170723035297,0.3333333333333333,0.12352941176470589,1.281437125748503
jores,jores_24492,jores_61545,2,-1.9841536700168783,1.9841536700168783,0.20000000000000004,0.12941176470588234,1.3053892215568863
jores,jores_45932,jores_60331,2,-1.3141251959049198,1.3141251959049198,0.5866666666666667,0.1588235294117647,1.2455089820359282
jores,jores_45932,jores_61181,2,-0.06277079034017996,0.06277079034017996,0.37333333333333335,0.16470588235294115,1.3532934131736527
jores,jores_45932,jores_61545,2,-2.5274415326605877,2.5274415326605877,0.6666666666666666,0.1705882352941176,1.2934131736526946
jores,jores_60331,jores_61181,2,1.2513544055647399,1.2513544055647399,0.29333333333333333,0.00588235294117645,1.125748502994012
jores,jores_60331,jores_61545,2,-1.213316336755668,1.213316336755668,0.28,0.0117647058823529,1.3413173652694612
jores,jores_61181,jores_61545,2,-2.4646707423204077,2.4646707423204077,0.3333333333333333,0.00588235294117645,1.2215568862275452
jores,jores_23975,jores_30458,19,0.47448116482286995,0.47448116482286995,0.3333333333333333,0.07647058823529412,1.3053892215568863
jores,jores_24389,jores_51476,2,3.31014061154397,3.31014061154397,0.79,0.035294117647058865,1.3293413173652695
jores,jores_24389,jores_61033,2,2.23378735951789,2.23378735951789,0.23666666666666666,0.12352941176470589,1.3532934131736527
jores,jores_24389,jores_62268,2,3.1539766975877304,3.1539766975877304,0.05000000000000001,0.1352941176470589,1.5449101796407185
jores,jores_24389,jores_62274,2,1.11615979776892,1.11615979776892,0.39333333333333337,0.1352941176470589,1.3053892215568863
